Milt (mile-days) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"1996",16515.704,7591.167,35142.659
"1997",17964.012,8593.299,37982.901
"1998",14462.805,6623.759,31782.2
"1999",10897.561,5045.904,22676.541
"2000",10407.014,4776.52,21871.512
"2001",9973.88,4565.311,21104.165
"2002",13132.763,6126.54,28141.386
"2003",19156.605,8841.105,41241.096
"2004",19302.793,9159.645,40291.062
"2005",15600.997,7152.56,33675.382
"2006",14253.223,6616.863,30725.455
"2007",16588.201,7780.48,34819.4
"2008",19493.507,9248.694,41883.664
"2009",18012.986,8552.61,37469.777
"2010",17053.592,7996.105,35039.029
"2011",14082.836,6620.673,29670.875
"2012",12392.803,5706.875,26359.63
"2013",10046.537,4653.535,21674.182
"2014",7795.672,3562.068,16224.061
"2015",5367.67,2422.892,11270.873
"2016",4253.41,1976.283,9117.385
"2017",3908.375,1785.362,8407.438
"2018",4309.689,1942.036,9254.037
"2019",8521.317,3880.825,18120.284
"2020",11546.209,5334.154,25692.946
"2021",13807.646,6168.595,30012.817
"2022",16548.408,7490.716,37562.662
"2023",21634.308,9606.225,48629.542
"2024",23635.62,10055.735,53016.972

Age-1 Aerial survey (# of small schools) posterior predictions
"Year","Median Posterior Prediction","Lower 95th","Upper 95th"
"2010",4503,1246.95,12263.25
"2012",734,183,2033.55
"2013",1876,536.9,5042.5
"2014",2056,571,5778.55
"2015",4266,1145.95,11773.7
"2016",1984,524.95,6007.1
"2017",22328,6474.35,62700.35
"2018",4766,1300.65,13977.75
"2019",3615,972.95,11571.1
"2020",11174,3085.6,35608.4
"2021",17108,4590.25,50797.3
"2022",6915,1595.85,24274.45
"2023",4237,728.85,60093.05
"2024",1206,215.95,21230.7
